M_fuel_sim,M_air_sim,eta_c,Q_gross,X_res,Diesel_fuel,Ammonia_fuel,Fresh_air,CA50,Var10,DI_duration
8.1348788890235e-05,0.00165215202854518,0.398777506575225,685.178435048493,0.0306267566436165,7.92437910035634e-06,7.18867830197911e-05,0.00159340074575173,9,43.8,0.41631973355537
8.13314298856975e-05,0.00165182668580596,0.41756872179811,720.773335731717,0.0398532930946768,7.91696222529963e-06,7.18771345298307e-05,0.00159307951325094,8.19999999999999,43.8,0.41631973355537
8.13140401109946e-05,0.00165149392674268,0.426317041813435,736.739812987729,0.042647872556619,7.91750448762361e-06,7.18659438367696e-05,0.00159300582847627,7.80000000000001,43.8,0.41631973355537
8.13030666955307e-05,0.00165140845845253,0.401309496893772,690.108554272343,0.0327488285093942,7.92371534375409e-06,7.18542940932872e-05,0.00159300582847627,8,43.8,0.416666666666667
8.12974227340771e-05,0.00165140532847512,0.367154643370075,631.707210294142,0.0317092724471459,7.92762756592802e-06,7.18501793346186e-05,0.0015930553477147,8.80000000000001,43.8,0.416666666666667
8.12971147217323e-05,0.00165145464977775,0.43926656751549,755.987608728194,0.035227991953998,7.93898596803229e-06,7.18772524270003e-05,0.00159330983068838,8,43.8,0.417014178482068
8.13355404600017e-05,0.00165171083343669,0.406340486740215,704.232339420318,0.0439548157890699,7.94703912606302e-06,7.1904325519382e-05,0.00159356431366206,8.60000000000002,43.8,0.417014178482068
8.13713848208133e-05,0.00165197478619026,0.430322411109044,744.173801459768,0.0421272422428971,7.94770380890687e-06,7.1900216275244e-05,0.00159366138448707,8,43.8,0.417014178482068
8.1368610128451e-05,0.00165208155443313,0.3750926734321,646.406110078086,0.0335138843883952,7.94381226538546e-06,7.18768779235856e-05,0.00159366138448707,8.60000000000002,43.8,0.417014178482068
8.13413283790836e-05,0.00165208520248925,0.494065765693988,846.486403605911,0.0309397446503035,7.93716382092706e-06,7.18526345428015e-05,0.00159363395792976,7.19999999999999,43.8,0.416666666666667
8.13099267052654e-05,0.00165205746850354,0.535850778047017,916.55522491767,0.0307443533818823,7.94625635289104e-06,7.18080142941264e-05,0.00159298901827895,6.39999999999998,43.8,0.416666666666667
8.12738121457366e-05,0.00165141107072476,0.414375008921392,716.436904223843,0.0427919918423347,7.95534888485502e-06,7.17633940454513e-05,0.00159234407862814,7.60000000000002,43.8,0.416666666666667
8.12376095105483e-05,0.00165074320402694,0.438582508883466,756.369167567985,0.0406579533462049,7.96201291376814e-06,7.17250847155039e-05,0.001592,8.39999999999998,43.8,0.416666666666667
8.12052876450555e-05,0.00165037545453513,0.497147626431716,853.356285928706,0.0367264245327713,7.96589959388829e-06,7.1693992845096e-05,0.001592,8.19999999999999,43.8,0.416666666666667
8.11774784151637e-05,0.00165036222370343,0.513068617304602,878.271272584167,0.0328761873359173,7.96978627400844e-06,7.16629009746881e-05,0.001592,6.80000000000001,43.8,0.416666666666667
8.11497535186042e-05,0.00165036132420295,0.424910208641487,729.68346447076,0.0324386652698965,7.98059485096648e-06,7.16819903213342e-05,0.00159286418209105,7.60000000000002,43.8,0.416666666666667
8.11791333119802e-05,0.00165122503456368,0.473577586075824,814.237877194134,0.0365931534221887,7.99225489135611e-06,7.17072524660259e-05,0.00159383466733367,8,43.8,0.416666666666667
8.12166045544407e-05,0.00165222585470781,0.395423359138153,681.61773766147,0.0352594013780981,8.00147073084237e-06,7.17288484945735e-05,0.0015945,8.60000000000002,43.8,0.416666666666667
8.12481166950026e-05,0.00165292639226567,0.434087871926698,752.17456287192,0.0344141859934743,8.267897582179e-06,7.17424511879218e-05,0.0015945,7.80000000000001,43.8,0.444444444444443
8.15287351469371e-05,0.00165295111837582,0.494083543383545,850.942351001715,0.0394731762289729,8.00924409112157e-06,7.17560538812701e-05,0.0015945,8.60000000000002,43.8,0.416666666666667
8.12889286213642e-05,0.00165295643322682,0.451137687608566,784.396044160424,0.0406492971741835,8.28505484025074e-06,7.17496539076189e-05,0.00159392850338575,7.80000000000001,43.8,0.444444444444443
8.15538578288217e-05,0.00165238130922181,0.468967743181879,806.415935136574,0.0338852380315496,8.03448008817496e-06,7.17361674742802e-05,0.0015931545393846,7.80000000000001,43.8,0.41631973355537
8.12947477107771e-05,0.00165159166730413,0.447132137272964,771.040219990401,0.0370846412249762,8.04691811104733e-06,7.1730531446217e-05,0.00159247433541917,6.80000000000001,43.8,0.41631973355537
8.12967073869043e-05,0.00165088003875352,0.354117758933759,611.633273313222,0.0336848110791382,8.04510142938823e-06,7.17653935406061e-05,0.0015922778141777,9.19999999999999,43.8,0.416666666666667
